doi	pmcid	year	licence
10.1186/s40538-022-00316-0			CC-BY
10.16984/saufenbilder.1197825			CC-BY-NC
10.19113/sdufenbed.1797520			CC-BY-NC
10.24425/jppr.2022.141353			CC-BY-NC-ND
10.2478/contagri-2024-0021			CC-BY-NC-ND
10.3389/fsufs.2024.1496327			CC-BY
10.5281/zenodo.1343909			CC-BY
10.3390/molecules15118390	PMC6259227	2010	CC-BY-4.0
10.1155/2014/734946	PMC4124710	2014	CC-BY-4.0
10.3390/molecules21091204	PMC6272847	2016	CC-BY-4.0
10.1186/s12906-018-2374-7	PMC6247689	2018	CC0-1.0
10.1371/journal.pone.0214672	PMC6448930	2019	CC-BY-4.0
10.1038/s41438-020-0266-8	PMC7109042	2020	CC-BY-4.0
10.14715/cmb/2020.66.2.1		2020	CC-BY
10.3390/plants9091221	PMC7569881	2020	CC-BY-4.0
10.1038/s41598-021-87604-1	PMC8044169	2021	CC-BY-4.0
10.1371/journal.pone.0249363	PMC8051937	2021	CC-BY-4.0
10.3390/molecules26164991	PMC8398789	2021	CC-BY-4.0
10.3390/molecules26206202	PMC8539914	2021	CC-BY-4.0
10.3390/plants10081721	PMC8398089	2021	CC-BY-4.0
10.1186/s12906-022-03748-1	PMC9563134	2022	CC0-1.0
10.3389/fpls.2022.896237	PMC9152358	2022	CC-BY-4.0
10.3390/ijms232314684	PMC9739587	2022	CC-BY-4.0
10.3390/molecules27123963	PMC9228154	2022	CC-BY-4.0
10.3390/molecules27196241	PMC9572977	2022	CC-BY-4.0
10.1038/s41598-023-34972-5	PMC10198992	2023	CC-BY-4.0
10.3390/foods12193655	PMC10572640	2023	CC-BY-4.0
10.3390/genes14030692	PMC10048243	2023	CC-BY-4.0
10.3390/molecules28031281	PMC9919184	2023	CC-BY-4.0
10.3390/molecules28083350	PMC10146642	2023	CC-BY-4.0
10.3390/molecules28237879	PMC10708075	2023	CC-BY-4.0
10.3390/plants12030506	PMC9921129	2023	CC-BY-4.0
10.3390/plants12162986	PMC10457957	2023	CC-BY-4.0
10.3390/plants12183296	PMC10537268	2023	CC-BY-4.0
10.3390/plants12193428	PMC10574685	2023	CC-BY-4.0
10.1016/j.fochx.2024.101892	PMC11533618	2024	CC-BY-NC-ND-4.0
10.1038/s41467-024-52782-9	PMC11443146	2024	CC-BY-NC-ND-4.0
10.1093/hr/uhae243	PMC11554761	2024	CC-BY-4.0
10.1186/s12906-024-04562-7	PMC11234773	2024	CC0-1.0
10.3389/fphar.2024.1451452	PMC11422205	2024	CC-BY-4.0
10.3389/fpls.2024.1477243	PMC11557480	2024	CC-BY-4.0
10.3390/foods13050668	PMC10931283	2024	CC-BY-4.0
10.3390/foods13182893	PMC11431035	2024	CC-BY-4.0
10.3390/foods13223579	PMC11592901	2024	CC-BY-4.0
10.3390/molecules29133145	PMC11242971	2024	CC-BY-4.0
10.3390/pharmaceutics16111393	PMC11597806	2024	CC-BY-4.0
10.1016/j.isci.2024.111635	PMC11804596	2025	CC-BY-NC-4.0
10.1021/acsmeasuresciau.5c00112	PMC12715635	2025	CC-BY-4.0
10.1038/s41598-025-08137-5	PMC12214688	2025	CC-BY-NC-ND-4.0
10.1371/journal.pone.0316324	PMC11760583	2025	CC-BY-4.0
10.3390/cimb47080649	PMC12384527	2025	CC-BY-4.0
10.3390/ijms26157521	PMC12347982	2025	CC-BY-4.0
10.3390/molecules30091974	PMC12073320	2025	CC-BY-4.0
10.3390/molecules30153259	PMC12348062	2025	CC-BY-4.0
10.3390/molecules30194021	PMC12526364	2025	CC-BY-4.0
10.3390/pathogens14040383	PMC12030332	2025	CC-BY-4.0
10.1016/j.crfs.2026.101388	PMC13050112	2026	CC-BY-NC-ND-4.0
10.1021/acsomega.6c03480	PMC13449199	2026	CC-BY-NC-ND-4.0
10.3390/foods15142425	PMC13409530	2026	CC-BY-4.0
10.3390/ijms27073174	PMC13072962	2026	CC-BY-4.0
